Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling,DSPAlgae,ASPAlgae,PSPAlgae,"Other (Producers of Yessotoxins, Hepatotoxins and Icthytoxic and nuisance species)",Status,Comments
Lough Foyle,Production Area 3 ,Oysters/Mussels,04/04/2023,No harmful species identified ,120,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 4 ,Oysters/Mussels,04/04/2023,No harmful species identified ,40,No harmful species identified ,No harmful species identified ,Open,
Belfast,B1 - AFFNI55,Mussels ,11/04/2023,No harmful species identified ,160,No harmful species identified ,No harmful species identified ,Open,
Belfast,B3 - AFFNI50,Mussels ,11/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B12 - AFFNI54,Mussels ,11/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast ,B20 - AFFNI53,Mussels ,11/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,C1 - AFFNI27,Mussels ,11/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters ,11/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 AFFNI106 and C17 AFFNI92",Oysters ,11/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,Narrow Water Wild Fishery,Mussels ,11/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Larne Lough,L3 AFFNI 88,Oysters  ,12/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,17/04/2023,No harmful species identified ,80,No harmful species identified,No harmful species identified ,Open,
Killough ,K1 - AFFNI18,Oysters,17/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Carlingford,C1 - AFFNI27,Mussels ,24/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters ,24/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 AFFNI106 and C17 AFFNI92",Oysters ,24/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,Narrow Water Wild Fishery,Mussels ,24/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Larne Lough,L3 AFFNI 88,Oysters  ,24/04/2023,No harmful species identified ,No harmful species identified ,120,No harmful species identified ,Open,outwith letter issued
Lough Foyle,Production Area 3 ,Oysters/Mussels,24/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 4 ,Oysters/Mussels,24/04/2023,No harmful species identified ,2500,No harmful species identified ,No harmful species identified ,Open,
Belfast,B1 - AFFNI55,Mussels ,25/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B3 - AFFNI50,Mussels ,25/04/2023,No harmful species identified ,160,60,No harmful species identified ,Open,outwith letter issued 
Belfast,B12 - AFFNI54,Mussels ,25/04/2023,No harmful species identified ,200,No harmful species identified ,No harmful species identified ,Open,
Belfast ,B20 - AFFNI53,Mussels ,25/04/2023,20,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford,S2 - AFFNI42,Mussels,25/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford ,S7 - AFFNI76,Oysters ,25/04/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters,02/05/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Killough ,K1 - AFFNI18,Oysters,02/05/2023,No harmful species identified ,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Carlingford,C1 - AFFNI27,Mussels ,08/05/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters ,08/05/2023,No harmful species identified ,80,No harmful species identified ,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 AFFNI106 and C17 AFFNI92",Oysters ,08/05/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Carlingford,Narrow Water Wild Fishery,Mussels,08/05/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Belfast,B1 - AFFNI55,Mussels,09/05/2023,20,540,No harmful species identified ,No harmful species identified ,Open,
Belfast,B3 - AFFNI50,Mussels ,09/05/2023,No harmful species identified ,460,No harmful species identified ,No harmful species identified ,Open,
Belfast ,B12 - AFFNI54,Mussels ,09/05/2023,20,800,No harmful species identified ,No harmful species identified ,Open,
Belfast,B20 - AFFNI53,Mussels,09/05/2023,No harmful species identified ,1060,No harmful species identified ,No harmful species identified ,Open,
Larne Lough ,L3 AFFNI 88,Oysters  ,09/05/2023,No harmful species identified,No harmful species identified ,No harmful species identified,No harmful species identified,Open,
Lough Foyle,Production Area 3,Oysters/Mussels,09/05/2023,No harmful species identified,480,No harmful species identified,No harmful species identified,Open,
Lough Foyle,Production Area 4,Oysters/Mussels,09/05/2023,No harmful species identified,160,No harmful species identified,No harmful species identified,Open,
Strangford ,S2 - AFFNI42,Mussels,09/05/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Strangford ,S7 - AFFNI76,Oysters ,09/05/2023,No harmful species identified ,120,No harmful species identified,No harmful species identified,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters  ,15/05/2023,No harmful species identified,No harmful species identified,No harmful species identified,No harmful species identified ,Open,
Killough,K1 - AFFNI18,Oysters  ,15/05/2023,20,300,No harmful species identified,No harmful species identified,Open,
Carlingford,C1 - AFFNI27,Mussels ,22/05/2023,No harmful species identified,No harmful species identified,No harmful species identified ,No harmful species identified,Open,
Carlingford,C11 - AFFNI84,Oysters,22/05/2023,20,No harmful species identified,No harmful species identified,No harmful species identified,Open,
Carlingford,"C15 - AFFNI89 - Represents C7 AFFNI73, C9 - AFFNI39, C16 AFFNI106 and C17 AFFNI92",Oysters  ,22/05/2023,No harmful species identified,No harmful species identified ,No harmful species identified,No harmful species identified ,Open,
Carlingford,Narrow Water Wild Fishery,Mussels,22/05/2023,No harmful species identified,No harmful species identified,No harmful species identified,No harmful species identified ,Open,
Strangford,S7 - AFFNI76,Oysters ,22/05/2023,No harmful species identified ,No harmful species identified ,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle,Production Area 3,Oysters/Mussels,23/05/2023,No harmful species identified,No harmful species identified,No harmful species identified,No harmful species identified,Open,
Lough Foyle ,Production Area 4,Oysters/Mussels ,23/05/2023,No harmful species identified,No harmful species identified,No harmful species identified,No harmful species identified,Open,
Strangford,S2 - AFFNI42,Mussels ,23/05/2023,120,3980,No harmful species identified,No harmful species identified,Open,outwith letter issued 
Larne Lough ,L3 AFFNI 88,Oysters  ,29/05/2023,40,40,No harmful species identified,No harmful species identified,Open,
Belfast,B1 - AFFNI55,Mussels,30/05/2023,20,18460,No harmful species identified,No harmful species identified,Open,
Belfast ,B3-AFFNI50,Mussels ,30/05/2023,160,95600,No harmful species identified,No harmful species identified,Open,outwith letter issued 
Belfast,B12 - AFFNI54,Mussels,30/05/2023,20,7860,No harmful species identified ,No harmful species identified ,Open,
Belfast,B20 - AFFNI53,Mussels,30/05/2023,20,60,No harmful species identified,No harmful species identified,Open,
Dundrum Bay,Inner North - DB1 - AFFNI95A,Oysters  ,05/06/2023,No harmful species identified,2200,No harmful species identified,No harmful species identified ,Open,
Killough,K1- AFFNI18,Oysters  ,05/06/2023,200,4280,No harmful species identified,No harmful species identified,Open,outwith letter issued 
Strangford,S2 - AFFNI42,Mussels ,05/06/2023,No harmful species identified,940,No harmful species identified,No harmful species identified,Open,
Strangford ,S7 - AFFNI76,Oysters ,05/06/2023,20,17260,No harmful species identified ,No harmful species identified ,Open,
Lough Foyle ,Production Area 3,Oysters/Mussels,06/06/2023,No harmful species identified,No harmful species identified,No harmful species identified,No harmful species identified,Open,
